step,true_state,measurement,kf_estimate,P,K
110,-1.907772,-2.510476,-1.874469,0.325694,0.434259
111,-2.019702,-1.809693,-1.846339,0.325694,0.434259
112,-1.931415,-2.870523,-2.2911,0.325694,0.434259
113,-1.88617,-1.688519,-2.029424,0.325694,0.434259
114,-0.627433,0.997962,-0.714756,0.325694,0.434259
115,-1.054055,-1.302936,-0.970178,0.325694,0.434259
116,-1.785776,-2.297343,-1.546511,0.325694,0.434259
117,-1.627973,-0.583674,-1.128391,0.325694,0.434259
118,-1.992515,-2.559023,-1.749655,0.325694,0.434259
119,-3.06616,-3.207033,-2.382534,0.325694,0.434259
120,-3.597367,-4.055875,-3.109196,0.325694,0.434259
121,-4.035797,-4.117431,-3.547031,0.325694,0.434259
122,-4.914662,-6.18516,-4.692661,0.325694,0.434259
123,-3.850038,-4.964979,-4.810917,0.325694,0.434259
124,-4.398431,-2.807617,-3.940967,0.325694,0.434259
125,-2.945897,-3.960504,-3.949451,0.325694,0.434259
126,-3.130022,-2.834226,-3.465155,0.325694,0.434259
127,-2.265673,-3.120316,-3.315406,0.325694,0.434259
128,-2.388312,-1.715118,-2.620467,0.325694,0.434259
129,-2.170929,-2.49669,-2.566716,0.325694,0.434259
130,-2.23784,-3.428535,-2.940968,0.325694,0.434259
131,-2.356927,-2.587626,-2.787526,0.325694,0.434259
132,-2.240842,-2.72177,-2.758971,0.325694,0.434259
133,-2.005073,-1.128035,-2.050723,0.325694,0.434259
134,-1.927358,-1.622728,-1.864863,0.325694,0.434259
135,-1.900781,-1.900708,-1.880429,0.325694,0.434259
136,-2.26156,-1.987468,-1.926911,0.325694,0.434259
137,-2.310203,-0.497466,-1.306162,0.325694,0.434259
138,-1.523526,-1.189373,-1.255445,0.325694,0.434259
139,-1.905054,-2.868431,-1.955898,0.325694,0.434259
140,-1.309483,-1.081935,-1.576372,0.325694,0.434259
141,-1.069411,-2.580267,-2.012322,0.325694,0.434259
142,-0.605692,-0.212152,-1.230583,0.325694,0.434259
143,-1.160907,-1.56926,-1.377656,0.325694,0.434259
144,-1.029048,-0.983611,-1.206539,0.325694,0.434259
145,-1.175134,-1.264758,-1.231821,0.325694,0.434259
146,-1.301123,-1.169,-1.20454,0.325694,0.434259
147,-0.565377,-2.788168,-1.892244,0.325694,0.434259
148,-0.683802,-0.530938,-1.301085,0.325694,0.434259
149,-0.535805,-0.857892,-1.108625,0.325694,0.434259
150,-1.414166,-1.130113,-1.117956,0.325694,0.434259
151,-0.550491,-1.878854,-1.448383,0.325694,0.434259
152,-0.118577,-0.403088,-0.994454,0.325694,0.434259
153,-0.149239,-1.061076,-1.023385,0.325694,0.434259
154,-0.316467,0.809405,-0.227481,0.325694,0.434259
155,-0.025139,1.475087,0.511874,0.325694,0.434259
156,0.563567,0.943827,0.699453,0.325694,0.434259
157,1.435534,1.815713,1.184199,0.325694,0.434259
158,1.849528,1.59269,1.361589,0.325694,0.434259
159,1.882801,1.278814,1.325644,0.325694,0.434259
160,2.377593,1.357152,1.339326,0.325694,0.434259
161,2.768768,2.603659,1.888374,0.325694,0.434259
162,3.354392,4.004663,2.807391,0.325694,0.434259
163,4.264715,4.897584,3.715075,0.325694,0.434259
164,3.478695,3.420711,3.587245,0.325694,0.434259
165,2.892691,2.443847,3.090715,0.325694,0.434259
166,3.648305,4.200426,3.572616,0.325694,0.434259
167,3.29884,2.420935,3.072489,0.325694,0.434259
168,3.315231,2.261659,2.720379,0.325694,0.434259
169,2.979661,3.249869,2.950315,0.325694,0.434259
170,3.557317,4.08452,3.442853,0.325694,0.434259
171,2.411672,2.675261,3.10952,0.325694,0.434259
172,2.447689,2.806128,2.977769,0.325694,0.434259
173,3.255794,1.468977,2.322563,0.325694,0.434259
174,2.960242,3.471982,2.821708,0.325694,0.434259
175,2.169445,3.447654,3.093531,0.325694,0.434259
176,2.353623,3.086786,3.090602,0.325694,0.434259
177,2.068151,2.772891,2.952633,0.325694,0.434259
178,2.602387,2.804065,2.888116,0.325694,0.434259
179,2.719588,2.953712,2.916602,0.325694,0.434259
180,2.287915,2.160151,2.588107,0.325694,0.434259
181,2.211654,2.543682,2.568815,0.325694,0.434259
182,2.711566,1.794847,2.232713,0.325694,0.434259
183,2.649061,3.932039,2.97066,0.325694,0.434259
184,2.277267,1.565178,2.360317,0.325694,0.434259
185,2.37842,3.109679,2.685734,0.325694,0.434259
186,2.384133,3.535047,3.054555,0.325694,0.434259
187,2.81253,3.541568,3.266045,0.325694,0.434259
188,3.089589,5.105395,4.064798,0.325694,0.434259
189,2.987008,1.251906,2.843276,0.325694,0.434259
190,3.789135,3.392756,3.081892,0.325694,0.434259
191,3.843075,4.977179,3.904937,0.325694,0.434259
192,3.041945,1.957987,3.059457,0.325694,0.434259
193,2.241306,1.553564,2.40551,0.325694,0.434259
194,2.461125,2.915085,2.626797,0.325694,0.434259
195,2.599262,1.375771,2.083528,0.325694,0.434259
196,1.44421,1.491282,1.82634,0.325694,0.434259
197,1.208322,1.606162,1.730726,0.325694,0.434259
198,1.559299,1.679019,1.708272,0.325694,0.434259
199,1.939365,2.137868,1.894828,0.325694,0.434259
200,2.204398,1.594133,1.764248,0.325694,0.434259
201,2.114592,2.285005,1.990391,0.325694,0.434259
202,2.524856,2.183866,2.07441,0.325694,0.434259
203,2.78544,2.555217,2.283204,0.325694,0.434259
204,2.726669,3.445053,2.787747,0.325694,0.434259
205,1.730139,0.607361,1.840896,0.325694,0.434259
206,0.989046,-1.031925,0.593349,0.325694,0.434259
207,0.649914,1.298942,0.899759,0.325694,0.434259
208,0.507472,0.678763,0.803789,0.325694,0.434259
209,1.05208,2.20189,1.410927,0.325694,0.434259
210,1.017511,2.189751,1.749138,0.325694,0.434259
211,1.063575,0.338367,1.136498,0.325694,0.434259
212,0.766375,-0.515808,0.41897,0.325694,0.434259
213,0.322308,0.012256,0.242351,0.325694,0.434259
214,0.7241,2.214331,1.0987,0.325694,0.434259
215,0.033009,0.373208,0.783649,0.325694,0.434259
216,-0.487263,-0.076163,0.410268,0.325694,0.434259
217,-0.552806,-2.138417,-0.69652,0.325694,0.434259
218,-0.088657,-0.612603,-0.660079,0.325694,0.434259
219,-0.355608,-1.28204,-0.930171,0.325694,0.434259
220,-0.682749,-0.312185,-0.661805,0.325694,0.434259
221,-0.777371,-0.492742,-0.588388,0.325694,0.434259
222,-0.59641,0.547316,-0.095199,0.325694,0.434259
223,-0.767803,-2.0468,-0.942698,0.325694,0.434259
224,-0.234192,-0.521269,-0.759689,0.325694,0.434259
225,0.323104,0.655118,-0.145297,0.325694,0.434259
226,0.257535,0.559584,0.160804,0.325694,0.434259
227,1.233041,3.031759,1.407541,0.325694,0.434259
228,1.267732,1.406461,1.407072,0.325694,0.434259
229,1.805852,1.073488,1.26221,0.325694,0.434259
230,1.972387,1.949989,1.560884,0.325694,0.434259
231,2.129341,1.407623,1.494329,0.325694,0.434259
232,1.334558,-0.460699,0.645342,0.325694,0.434259
233,0.775866,0.378641,0.529525,0.325694,0.434259
234,0.62927,2.306961,1.301392,0.325694,0.434259
235,1.182266,0.349071,0.887838,0.325694,0.434259
236,1.356121,1.003581,0.9381,0.325694,0.434259
237,1.213939,1.374436,1.127583,0.325694,0.434259
238,1.523524,1.229718,1.171936,0.325694,0.434259
239,2.05545,1.066503,1.126151,0.325694,0.434259
240,2.05862,4.308271,2.508014,0.325694,0.434259
241,2.17016,3.41136,2.900299,0.325694,0.434259
242,2.21592,2.718887,2.82152,0.325694,0.434259
243,2.187528,2.039951,2.482117,0.325694,0.434259
244,1.797787,2.170439,2.346768,0.325694,0.434259
245,1.372018,1.948432,2.173787,0.325694,0.434259
246,1.914662,2.232087,2.199104,0.325694,0.434259
247,1.771537,2.164683,2.184157,0.325694,0.434259
248,1.617201,2.427408,2.289791,0.325694,0.434259
249,0.701498,0.410853,1.473846,0.325694,0.434259
250,-0.293908,-1.588669,0.143923,0.325694,0.434259
251,0.388023,1.163276,0.586586,0.325694,0.434259
252,0.028283,-1.272923,-0.220922,0.325694,0.434259
253,-1.453982,-1.924663,-0.960786,0.325694,0.434259
254,-0.243774,0.132847,-0.485867,0.325694,0.434259
255,-0.52356,-0.120789,-0.327329,0.325694,0.434259
256,-1.304039,-1.561529,-0.863291,0.325694,0.434259
257,-1.254301,-1.328866,-1.065471,0.325694,0.434259
258,-0.858898,-0.560426,-0.846151,0.325694,0.434259
259,-0.524735,-1.120883,-0.965455,0.325694,0.434259
260,-0.075827,1.334874,0.033482,0.325694,0.434259
261,-0.560902,-1.329669,-0.558478,0.325694,0.434259
262,0.10699,-0.058718,-0.341453,0.325694,0.434259
263,0.808901,0.425654,-0.00833,0.325694,0.434259
264,1.536424,1.650294,0.711942,0.325694,0.434259
265,1.665538,3.020624,1.714507,0.325694,0.434259
266,1.484653,0.669617,1.260755,0.325694,0.434259
267,1.260371,1.652104,1.430701,0.325694,0.434259
268,0.477491,1.029557,1.256501,0.325694,0.434259
269,0.208106,1.202141,1.232895,0.325694,0.434259
270,-0.989024,-1.67021,-0.027803,0.325694,0.434259
271,-1.832258,-2.547794,-1.122131,0.325694,0.434259
272,-1.708425,-1.86364,-1.444138,0.325694,0.434259
273,-1.835114,-1.972972,-1.673789,0.325694,0.434259
274,-1.73342,-2.606838,-2.078973,0.325694,0.434259
275,-1.379995,-0.80611,-1.526221,0.325694,0.434259
276,-1.187476,-0.705504,-1.169818,0.325694,0.434259
277,-1.039267,0.723158,-0.347777,0.325694,0.434259
278,-1.082814,-1.348756,-0.782461,0.325694,0.434259
279,-1.459578,-2.353544,-1.464717,0.325694,0.434259
280,-2.081814,-2.851535,-2.066955,0.325694,0.434259
281,-2.117154,-1.827646,-1.963033,0.325694,0.434259
282,-2.091583,-2.754556,-2.306759,0.325694,0.434259
283,-1.641491,-1.001141,-1.739783,0.325694,0.434259
284,-1.721315,-2.286757,-1.977311,0.325694,0.434259
285,-1.447101,-1.284311,-1.67637,0.325694,0.434259
286,-2.171165,-2.230037,-1.916805,0.325694,0.434259
287,-2.040147,-2.819305,-2.308723,0.325694,0.434259
288,-1.945225,-3.205138,-2.697999,0.325694,0.434259
289,-1.277132,-0.196376,-1.611648,0.325694,0.434259
290,-1.403391,-1.08863,-1.384523,0.325694,0.434259
291,-2.608352,-3.609778,-2.350859,0.325694,0.434259
292,-2.755241,-3.683736,-2.929672,0.325694,0.434259
293,-2.398043,-0.668333,-1.947667,0.325694,0.434259
294,-2.98635,-3.711615,-2.713676,0.325694,0.434259
295,-2.868626,-1.473359,-2.175058,0.325694,0.434259
296,-3.479813,-3.264142,-2.648002,0.325694,0.434259
297,-2.569164,-3.999629,-3.234958,0.325694,0.434259
298,-3.209699,-3.576553,-3.383298,0.325694,0.434259
299,-3.469993,-2.766259,-3.115344,0.325694,0.434259
300,-3.349163,-4.886325,-3.884408,0.325694,0.434259
301,-3.091458,-3.591621,-3.757263,0.325694,0.434259
302,-2.454234,-2.997741,-3.427434,0.325694,0.434259
303,-2.772542,-2.303908,-2.939533,0.325694,0.434259
304,-2.391078,-2.003013,-2.532841,0.325694,0.434259
305,-3.233877,-2.767926,-2.634929,0.325694,0.434259
306,-3.751031,-3.547276,-3.031123,0.325694,0.434259
307,-4.462898,-4.076372,-3.485032,0.325694,0.434259
308,-4.866198,-5.976992,-4.567187,0.325694,0.434259
309,-4.509288,-4.300017,-4.451166,0.325694,0.434259
310,-4.816276,-3.559518,-4.06396,0.325694,0.434259
311,-5.036602,-5.008796,-4.474264,0.325694,0.434259
312,-4.902146,-5.438792,-4.893118,0.325694,0.434259
313,-4.666577,-5.128561,-4.995361,0.325694,0.434259
314,-4.872397,-3.692314,-4.429502,0.325694,0.434259
315,-5.39269,-7.482219,-5.75517,0.325694,0.434259
316,-4.587221,-2.379438,-4.28923,0.325694,0.434259
317,-4.789856,-6.467207,-5.235035,0.325694,0.434259
318,-4.945098,-5.192974,-5.21677,0.325694,0.434259
319,-5.04006,-6.004282,-5.558754,0.325694,0.434259
320,-4.750279,-4.296042,-5.010411,0.325694,0.434259
321,-5.497482,-4.89196,-4.958972,0.325694,0.434259
322,-4.471139,-4.322217,-4.682456,0.325694,0.434259
323,-4.639802,-4.76278,-4.717338,0.325694,0.434259
324,-4.332174,-5.830979,-5.200946,0.325694,0.434259
325,-4.249978,-4.58813,-4.934825,0.325694,0.434259
326,-3.326066,-3.476904,-4.301711,0.325694,0.434259
327,-2.492122,-3.447989,-3.930975,0.325694,0.434259
328,-2.198492,-1.921884,-3.05851,0.325694,0.434259
329,-2.633016,-2.479387,-2.807021,0.325694,0.434259
330,-2.026757,-2.307168,-2.589956,0.325694,0.434259
331,-2.872738,-2.887948,-2.719361,0.325694,0.434259
332,-3.323949,-3.620425,-3.110656,0.325694,0.434259
333,-3.364743,-4.841882,-3.862456,0.325694,0.434259
334,-4.172573,-3.75509,-3.815831,0.325694,0.434259
335,-4.433932,-6.655066,-5.048793,0.325694,0.434259
336,-4.04151,-3.805631,-4.508939,0.325694,0.434259
337,-4.398447,-5.538856,-4.956189,0.325694,0.434259
338,-3.980543,-3.677997,-4.401123,0.325694,0.434259
339,-2.789242,-2.425348,-3.543126,0.325694,0.434259
340,-2.595391,-2.739954,-3.194342,0.325694,0.434259
341,-2.187003,-1.645663,-2.521815,0.325694,0.434259
342,-1.56114,-2.012619,-2.300692,0.325694,0.434259
343,-1.778844,-2.193759,-2.254256,0.325694,0.434259
344,-1.383443,-0.085813,-1.312591,0.325694,0.434259
345,-1.612863,-1.980728,-1.602735,0.325694,0.434259
346,-1.455825,-1.66866,-1.631364,0.325694,0.434259
347,-0.979798,-2.929894,-2.195262,0.325694,0.434259
348,-1.39315,-2.070743,-2.141188,0.325694,0.434259
349,-2.553328,-3.387864,-2.682568,0.325694,0.434259
350,-3.010906,-3.185068,-2.900783,0.325694,0.434259
351,-2.454424,-2.666652,-2.79911,0.325694,0.434259
352,-2.96983,-3.019154,-2.894666,0.325694,0.434259
353,-2.445244,-3.290449,-3.066538,0.325694,0.434259
354,-2.900531,-2.416813,-2.78439,0.325694,0.434259
355,-3.011299,-2.450561,-2.639422,0.325694,0.434259
356,-3.018122,-2.410464,-2.539995,0.325694,0.434259
357,-3.535662,-3.546127,-2.976916,0.325694,0.434259
358,-3.641007,-4.693999,-3.722574,0.325694,0.434259
359,-4.422746,-3.828869,-3.768734,0.325694,0.434259
360,-4.598222,-5.483542,-4.513404,0.325694,0.434259
361,-4.646311,-3.669418,-4.146896,0.325694,0.434259
362,-5.78668,-7.082807,-5.421841,0.325694,0.434259
363,-6.248123,-4.982705,-5.231142,0.325694,0.434259
364,-6.10683,-5.442314,-5.322845,0.325694,0.434259
365,-6.67691,-7.646457,-6.331893,0.325694,0.434259
366,-6.453003,-6.402536,-6.362571,0.325694,0.434259
367,-6.178634,-6.341162,-6.353274,0.325694,0.434259
368,-6.039562,-5.902627,-6.157577,0.325694,0.434259
369,-5.650678,-4.951789,-5.633953,0.325694,0.434259
370,-6.460614,-8.406806,-6.838088,0.325694,0.434259
371,-5.959742,-4.931142,-6.00998,0.325694,0.434259
372,-6.470053,-8.080718,-6.909216,0.325694,0.434259
373,-6.420536,-5.614406,-6.346934,0.325694,0.434259
374,-5.521739,-5.074612,-5.794417,0.325694,0.434259
375,-5.707597,-6.481071,-6.092602,0.325694,0.434259
376,-5.701871,-5.961042,-6.035471,0.325694,0.434259
377,-6.209405,-4.435131,-5.34051,0.325694,0.434259
378,-5.316821,-4.332974,-4.902979,0.325694,0.434259
379,-5.777246,-5.036778,-4.961082,0.325694,0.434259
380,-5.457433,-5.074177,-5.010195,0.325694,0.434259
381,-4.8326,-4.282353,-4.694123,0.325694,0.434259
382,-4.462593,-3.911016,-4.354052,0.325694,0.434259
383,-4.292198,-5.83685,-4.99797,0.325694,0.434259
384,-4.250387,-4.732063,-4.882498,0.325694,0.434259
385,-4.890308,-3.433812,-4.253393,0.325694,0.434259
386,-4.02581,-2.84869,-3.643389,0.325694,0.434259
387,-3.898203,-2.728527,-3.246103,0.325694,0.434259
388,-3.892177,-3.716549,-3.450398,0.325694,0.434259
389,-4.438912,-4.095108,-3.730369,0.325694,0.434259
390,-4.408719,-5.536849,-4.514848,0.325694,0.434259
391,-4.434318,-4.503366,-4.509862,0.325694,0.434259
392,-3.535537,-2.761126,-3.750458,0.325694,0.434259
393,-3.529815,-3.314358,-3.561078,0.325694,0.434259
394,-3.507708,-3.683437,-3.614214,0.325694,0.434259
395,-4.048922,-4.179737,-3.859797,0.325694,0.434259
396,-4.421971,-5.504776,-4.574143,0.325694,0.434259
397,-4.16636,-3.827515,-4.249913,0.325694,0.434259
398,-5.059714,-5.165962,-4.647715,0.325694,0.434259
399,-4.561863,-3.644549,-4.212082,0.325694,0.434259
400,-4.048945,-4.015245,-4.126604,0.325694,0.434259
401,-4.471467,-5.409978,-4.68392,0.325694,0.434259
402,-4.299165,-3.970699,-4.374198,0.325694,0.434259
403,-3.655499,-2.702889,-3.648418,0.325694,0.434259
404,-3.721614,-4.799128,-4.148123,0.325694,0.434259
405,-3.881167,-3.693039,-3.950499,0.325694,0.434259
406,-3.982209,-4.48268,-4.181603,0.325694,0.434259
407,-3.855766,-4.292207,-4.229634,0.325694,0.434259
408,-4.169799,-3.900073,-4.086519,0.325694,0.434259
409,-4.370796,-4.159395,-4.118166,0.325694,0.434259
410,-4.234194,-5.220968,-4.597067,0.325694,0.434259
411,-4.474814,-3.229663,-4.00326,0.325694,0.434259
412,-5.055854,-6.88893,-5.256387,0.325694,0.434259
413,-5.986777,-5.961567,-5.562617,0.325694,0.434259
414,-5.971318,-6.073172,-5.78433,0.325694,0.434259
415,-5.364223,-7.678965,-6.607092,0.325694,0.434259
416,-5.166256,-3.814011,-5.394172,0.325694,0.434259
417,-5.730146,-6.059068,-5.682909,0.325694,0.434259
418,-6.106592,-6.881119,-6.203242,0.325694,0.434259
419,-6.269723,-5.033485,-5.695265,0.325694,0.434259
420,-5.35103,-5.641962,-5.672118,0.325694,0.434259
421,-4.3985,-4.36769,-5.105659,0.325694,0.434259
422,-3.521654,-3.602453,-4.452879,0.325694,0.434259
423,-3.456125,-3.139615,-3.882583,0.325694,0.434259
424,-1.866699,-1.129464,-2.687017,0.325694,0.434259
425,-2.220331,-1.381154,-2.119935,0.325694,0.434259
426,-2.401247,-2.825383,-2.426282,0.325694,0.434259
427,-1.946947,-1.920026,-2.206436,0.325694,0.434259
428,-1.807659,-1.795547,-2.028004,0.325694,0.434259
429,-1.639367,-1.271336,-1.699414,0.325694,0.434259
430,-2.60785,-2.030582,-1.843226,0.325694,0.434259
431,-3.09886,-4.347928,-2.930914,0.325694,0.434259
432,-3.128066,-3.055336,-2.984946,0.325694,0.434259
433,-3.474819,-2.755124,-2.885144,0.325694,0.434259
434,-4.145906,-4.49833,-3.585684,0.325694,0.434259
435,-4.438344,-4.478689,-3.973479,0.325694,0.434259
436,-4.298911,-5.171772,-4.493848,0.325694,0.434259
437,-3.93677,-3.882208,-4.228238,0.325694,0.434259
438,-4.882743,-6.578933,-5.249048,0.325694,0.434259
439,-4.888903,-5.080266,-5.175753,0.325694,0.434259
440,-4.940613,-4.964846,-5.084165,0.325694,0.434259
