step,true_state,measurement,kf_estimate,P,K
478,-5.77785,-4.590927,-5.558449,0.325694,0.434259
479,-6.019865,-4.077439,-4.915308,0.325694,0.434259
480,-6.020825,-5.667456,-5.241935,0.325694,0.434259
481,-5.212388,-5.098915,-5.179827,0.325694,0.434259
482,-5.71356,-5.808587,-5.452872,0.325694,0.434259
483,-5.731366,-6.913266,-6.08706,0.325694,0.434259
484,-5.859282,-6.502039,-6.267268,0.325694,0.434259
485,-5.397103,-5.367128,-5.876375,0.325694,0.434259
486,-5.538501,-5.630457,-5.769583,0.325694,0.434259
487,-5.42694,-4.892763,-5.388816,0.325694,0.434259
488,-5.926796,-6.828837,-6.014158,0.325694,0.434259
489,-5.374456,-5.73155,-5.891433,0.325694,0.434259
490,-6.082877,-5.698524,-5.807661,0.325694,0.434259
491,-5.851192,-7.17683,-6.402234,0.325694,0.434259
492,-5.736451,-5.099418,-5.836475,0.325694,0.434259
493,-5.549258,-5.001946,-5.474074,0.325694,0.434259
494,-6.251393,-5.964703,-5.687134,0.325694,0.434259
495,-6.402703,-6.820811,-6.179443,0.325694,0.434259
496,-5.967425,-4.686335,-5.531048,0.325694,0.434259
497,-5.07024,-3.931583,-4.836467,0.325694,0.434259
498,-5.125107,-4.819642,-4.82916,0.325694,0.434259
499,-4.741695,-4.636752,-4.745606,0.325694,0.434259
