step,true_state,measurement
246,1.914662,2.232087
247,1.771537,2.164683
248,1.617201,2.427408
249,0.701498,0.410853
250,-0.293908,-1.588669
251,0.388023,1.163276
252,0.028283,-1.272923
253,-1.453982,-1.924663
254,-0.243774,0.132847
255,-0.52356,-0.120789
256,-1.304039,-1.561529
257,-1.254301,-1.328866
258,-0.858898,-0.560426
259,-0.524735,-1.120883
260,-0.075827,1.334874
261,-0.560902,-1.329669
262,0.10699,-0.058718
263,0.808901,0.425654
264,1.536424,1.650294
265,1.665538,3.020624
266,1.484653,0.669617
267,1.260371,1.652104
268,0.477491,1.029557
269,0.208106,1.202141
270,-0.989024,-1.67021
271,-1.832258,-2.547794
272,-1.708425,-1.86364
273,-1.835114,-1.972972
274,-1.73342,-2.606838
275,-1.379995,-0.80611
276,-1.187476,-0.705504
277,-1.039267,0.723158
278,-1.082814,-1.348756
279,-1.459578,-2.353544
280,-2.081814,-2.851535
281,-2.117154,-1.827646
282,-2.091583,-2.754556
283,-1.641491,-1.001141
284,-1.721315,-2.286757
285,-1.447101,-1.284311
286,-2.171165,-2.230037
287,-2.040147,-2.819305
288,-1.945225,-3.205138
289,-1.277132,-0.196376
290,-1.403391,-1.08863
291,-2.608352,-3.609778
292,-2.755241,-3.683736
293,-2.398043,-0.668333
294,-2.98635,-3.711615
295,-2.868626,-1.473359
296,-3.479813,-3.264142
297,-2.569164,-3.999629
298,-3.209699,-3.576553
299,-3.469993,-2.766259
300,-3.349163,-4.886325
301,-3.091458,-3.591621
302,-2.454234,-2.997741
303,-2.772542,-2.303908
304,-2.391078,-2.003013
305,-3.233877,-2.767926
306,-3.751031,-3.547276
307,-4.462898,-4.076372
308,-4.866198,-5.976992
309,-4.509288,-4.300017
310,-4.816276,-3.559518
311,-5.036602,-5.008796
312,-4.902146,-5.438792
313,-4.666577,-5.128561
314,-4.872397,-3.692314
315,-5.39269,-7.482219
316,-4.587221,-2.379438
317,-4.789856,-6.467207
318,-4.945098,-5.192974
319,-5.04006,-6.004282
320,-4.750279,-4.296042
321,-5.497482,-4.89196
322,-4.471139,-4.322217
323,-4.639802,-4.76278
324,-4.332174,-5.830979
325,-4.249978,-4.58813
326,-3.326066,-3.476904
327,-2.492122,-3.447989
328,-2.198492,-1.921884
329,-2.633016,-2.479387
330,-2.026757,-2.307168
331,-2.872738,-2.887948
332,-3.323949,-3.620425
333,-3.364743,-4.841882
334,-4.172573,-3.75509
335,-4.433932,-6.655066
336,-4.04151,-3.805631
337,-4.398447,-5.538856
338,-3.980543,-3.677997
339,-2.789242,-2.425348
340,-2.595391,-2.739954
341,-2.187003,-1.645663
342,-1.56114,-2.012619
343,-1.778844,-2.193759
344,-1.383443,-0.085813
345,-1.612863,-1.980728
346,-1.455825,-1.66866
347,-0.979798,-2.929894
348,-1.39315,-2.070743
349,-2.553328,-3.387864
350,-3.010906,-3.185068
351,-2.454424,-2.666652
352,-2.96983,-3.019154
353,-2.445244,-3.290449
354,-2.900531,-2.416813
355,-3.011299,-2.450561
356,-3.018122,-2.410464
357,-3.535662,-3.546127
358,-3.641007,-4.693999
359,-4.422746,-3.828869
360,-4.598222,-5.483542
361,-4.646311,-3.669418
362,-5.78668,-7.082807
363,-6.248123,-4.982705
364,-6.10683,-5.442314
365,-6.67691,-7.646457
366,-6.453003,-6.402536
367,-6.178634,-6.341162
368,-6.039562,-5.902627
369,-5.650678,-4.951789
370,-6.460614,-8.406806
371,-5.959742,-4.931142
372,-6.470053,-8.080718
373,-6.420536,-5.614406
374,-5.521739,-5.074612
375,-5.707597,-6.481071
376,-5.701871,-5.961042
377,-6.209405,-4.435131
378,-5.316821,-4.332974
379,-5.777246,-5.036778
380,-5.457433,-5.074177
381,-4.8326,-4.282353
382,-4.462593,-3.911016
383,-4.292198,-5.83685
384,-4.250387,-4.732063
385,-4.890308,-3.433812
386,-4.02581,-2.84869
387,-3.898203,-2.728527
388,-3.892177,-3.716549
389,-4.438912,-4.095108
390,-4.408719,-5.536849
391,-4.434318,-4.503366
392,-3.535537,-2.761126
393,-3.529815,-3.314358
394,-3.507708,-3.683437
395,-4.048922,-4.179737
396,-4.421971,-5.504776
397,-4.16636,-3.827515
398,-5.059714,-5.165962
399,-4.561863,-3.644549
400,-4.048945,-4.015245
401,-4.471467,-5.409978
402,-4.299165,-3.970699
403,-3.655499,-2.702889
404,-3.721614,-4.799128
405,-3.881167,-3.693039
406,-3.982209,-4.48268
407,-3.855766,-4.292207
408,-4.169799,-3.900073
409,-4.370796,-4.159395
410,-4.234194,-5.220968
411,-4.474814,-3.229663
412,-5.055854,-6.88893
413,-5.986777,-5.961567
414,-5.971318,-6.073172
415,-5.364223,-7.678965
416,-5.166256,-3.814011
417,-5.730146,-6.059068
418,-6.106592,-6.881119
419,-6.269723,-5.033485
420,-5.35103,-5.641962
421,-4.3985,-4.36769
422,-3.521654,-3.602453
423,-3.456125,-3.139615
424,-1.866699,-1.129464
425,-2.220331,-1.381154
426,-2.401247,-2.825383
427,-1.946947,-1.920026
428,-1.807659,-1.795547
429,-1.639367,-1.271336
430,-2.60785,-2.030582
431,-3.09886,-4.347928
432,-3.128066,-3.055336
433,-3.474819,-2.755124
434,-4.145906,-4.49833
435,-4.438344,-4.478689
436,-4.298911,-5.171772
437,-3.93677,-3.882208
438,-4.882743,-6.578933
439,-4.888903,-5.080266
440,-4.940613,-4.964846
441,-4.827833,-4.007144
442,-5.383385,-6.398343
443,-5.930047,-5.679838
444,-5.307574,-5.681125
445,-6.558424,-8.034125
446,-6.974942,-7.457949
447,-7.179136,-7.145724
448,-7.335009,-6.426255
449,-7.673018,-8.419807
450,-7.43358,-8.763485
451,-7.238734,-7.149921
452,-7.312456,-5.936968
453,-7.623559,-5.839289
454,-7.736275,-8.842204
455,-7.701315,-8.633371
456,-8.077193,-7.733352
457,-7.799402,-8.338215
458,-7.3057,-6.303269
459,-6.587549,-6.129063
460,-5.905834,-7.534654
461,-6.064788,-6.815636
462,-6.005175,-6.500064
463,-6.088254,-4.458242
464,-6.173114,-5.814759
465,-6.289248,-6.223679
466,-6.28624,-5.89798
467,-5.703586,-4.276901
468,-5.548776,-5.038214
469,-6.124208,-6.200312
470,-5.654064,-4.904113
471,-5.548259,-4.780619
472,-5.302875,-4.26338
473,-5.158196,-5.46624
474,-4.990275,-7.528244
475,-4.798832,-7.95845
